Gene	Category	Pvalue	NrOfVariants	ReviewStatusMean	NumberSubmittersMean	SubmitterCategoriesMean
NUP107	C4	0.7327741156787284	5	0.0	2.0	1.2
TFRC	N1	NA	1	0.0	3.0	3.0
IFT172	C2	0.04063557744402202	16	0.25	2.0625	1.3125
ITSN1	N1	NA	2	0.5	2.0	2.0
SPINT2	C4	0.42597511151360556	6	0.0	2.0	1.0
PRKACG	N1	NA	1	0.0	2.0	1.0
DPYSL2	N1	NA	1	1.0	2.0	2.0
PRKACA	C3	0.4795001221869535	2	0.0	3.0	2.5
SECISBP2	C3	0.22345385579904897	3	0.0	2.0	1.0
CACNA2D4	N1	NA	32	1.09375	2.1875	1.96875
LARS2	C2	0.02621506405638585	28	1.1071428571428572	2.2142857142857144	2.0357142857142856
SCO1	C3	0.07453157105461916	16	0.875	2.0625	1.8125
SCO2	C1	5.1751473537864356E-5	1	1.0	2.0	2.0
TFR2	C4	0.15944520783096827	35	0.4571428571428571	2.2857142857142856	1.542857142857143
AGTR1	C3	0.7340951823194759	7	0.28571428571428575	2.0	1.2857142857142858
ORAI1	C4	0.08831136214975366	9	0.22222222222222218	2.0	1.2222222222222223
OPTN	C4	0.3111350517780631	15	0.8666666666666667	2.2666666666666666	1.8
COL13A1	C3	1.0	2	0.0	2.0	1.0
SAR1B	C2	0.03519233507772823	5	0.0	2.0	1.0
ADAMTS10	C4	0.27026494469994755	10	0.1	2.0	1.3
ADAMTS13	C4	0.08440183284381686	86	0.38372093023255804	2.0348837209302326	1.4069767441860468
T	N1	NA	3	0.33333333333333337	2.0	1.3333333333333333
HLCS	C2	0.022680427546513893	49	0.9387755102040817	2.142857142857143	1.8775510204081631
ADAMTS18	C3	0.10932488206339896	6	0.0	2.0	1.1666666666666667
ADAMTS17	C3	0.4446962318497091	5	0.0	2.0	1.6
HCRT	N1	NA	1	0.0	2.0	1.0
CREBBP	C2	0.03189318500771632	225	0.991111111111111	2.2711111111111113	1.991111111111111
JAG1	C4	0.19516422063587457	135	1.0666666666666669	2.2888888888888896	1.962962962962963
JUP	C4	0.0644009235023536	143	1.1888111888111892	2.5524475524475516	1.965034965034965
EIF2AK3	C4	0.5918818629302538	13	0.5384615384615385	2.1538461538461537	1.7692307692307692
EIF2AK4	C2	0.016290871174318045	10	0.0	2.0	1.0
L1CAM	C2	0.03038282197657749	86	0.9883720930232559	2.3488372093023253	1.872093023255814
FAM111B	C3	0.11745149003513577	6	0.0	2.5	1.0
DHFR	T1	NA	3	0.0	2.3333333333333335	2.0
FAM111A	C4	0.18660585056697354	5	0.0	3.0	1.0
LAS1L	N1	NA	1	1.0	2.0	2.0
STRC	C1	0.007438348076892587	73	0.9589041095890412	2.0547945205479454	1.9726027397260273
SFXN4	T1	NA	3	0.0	2.0	1.0
KCNC1	N1	NA	2	0.5	2.0	1.5
DPYS	C3	0.06087440224862506	26	0.0	2.0	1.8461538461538463
KCNC3	C3	0.4617428253910868	7	0.5714285714285714	2.0	1.5714285714285714
PRKAG2	C2	0.043910242341946626	147	1.1292517006802723	2.5646258503401365	2.0136054421768708
SNX10	C3	0.12133525035848225	2	0.0	2.0	1.0
PRKAG3	N1	NA	11	0.0	2.0	1.0
MMP20	C3	0.5626754786007807	9	0.4444444444444444	2.0	1.5555555555555556
SHH	I1	NA	46	0.2608695652173912	2.4565217391304346	1.4130434782608698
CASP10	C4	0.9341916414436111	7	0.0	2.2857142857142856	1.0
NEFL	C4	0.41960353551591056	61	0.21311475409836075	2.245901639344262	2.1147540983606556
NEFH	C3	1.0	24	0.04166666666666668	2.0416666666666665	1.9583333333333333
JAK3	C1	0.002078981669423441	47	0.4893617021276595	2.148936170212766	1.9148936170212765
JAK1	N1	NA	10	0.10000000000000002	2.0	2.0
MYBPC3	C2	0.028488175909835656	962	1.151767151767152	2.853430353430361	2.018711018711019
CHST8	N1	NA	1	0.0	2.0	1.0
MYBPC1	C3	0.06679806847513803	21	1.1428571428571428	2.3333333333333335	1.8571428571428572
CHST6	C4	0.167406587404497	8	0.125	2.0	1.125
IFT140	C2	0.01903998795474815	19	0.47368421052631576	2.0	1.736842105263158
KCND3	C4	0.7798476433904591	17	0.588235294117647	2.1176470588235294	1.5882352941176472
TEX11	C3	0.9942176711388209	4	0.0	2.0	1.25
BGN	C3	0.8531003889790089	7	0.0	2.0	1.7142857142857142
TEX15	N1	NA	1	1.0	2.0	2.0
DUSP6	C3	0.05699830641051984	4	0.0	2.0	1.0
MMP14	N1	NA	1	0.0	2.0	1.0
MMP13	C2	0.01595461119654462	10	0.4	2.0	1.4
SDHAF2	C3	0.10034824646229068	16	1.0	2.25	2.0625
PTRH2	C3	1.0	2	0.0	2.5	2.0
AGPS	C2	0.028412580599642356	10	0.7	2.2	1.6
DPYD	C4	0.1525391655320999	59	0.40677966101694923	2.305084745762712	2.0338983050847457
SDHAF1	C3	0.3236781609070165	7	0.8571428571428571	2.142857142857143	1.7142857142857142
CRYAA	C1	7.639086370274661E-4	13	0.23076923076923075	2.076923076923077	1.4615384615384615
CRYAB	C4	0.5623426051791449	29	0.7931034482758621	2.5517241379310343	1.793103448275862
PAFAH1B1	C3	0.3092968417459364	124	0.9838709677419355	2.209677419354839	2.024193548387097
CHST3	T1	NA	15	0.20000000000000004	2.0	1.2
ECHS1	C4	0.6999875165668471	6	0.0	2.3333333333333335	1.6666666666666667
KCNA1	C1	2.5111289005286253E-5	28	0.25	2.25	1.392857142857143
KCNA2	C2	0.03763531378731433	4	0.0	2.0	1.0
KIAA2022	C3	0.29626987148428674	23	0.826086956521739	2.0434782608695654	1.9130434782608696
KCNA5	C4	0.6174382654884993	20	0.75	2.05	1.8
JAM3	T1	NA	3	0.0	2.0	1.0
EGLN1	C3	0.4941245444092639	8	0.5	2.0	1.5
MBD5	I1	NA	127	1.015748031496063	2.15748031496063	2.0
PKLR	C1	0.009520050273085223	11	0.45454545454545453	2.1818181818181817	1.6363636363636365
KCNB1	C3	0.8272593465627113	4	0.5	2.25	1.75
SKI	C4	0.6623032332676814	94	1.148936170212766	2.6170212765957457	2.0425531914893615
SNX14	C4	0.08570555461743667	6	0.0	2.0	1.0
AGRN	C4	0.11191757948252024	96	1.0208333333333335	2.3854166666666665	1.9166666666666665
EFEMP2	C2	0.04722090400357715	15	0.4666666666666666	2.8	1.4666666666666666
EFEMP1	C3	0.936490249583841	9	1.0	2.111111111111111	1.8888888888888888
UROD	C4	0.07440081173543356	17	0.1176470588235294	2.1176470588235294	1.1176470588235294
POFUT1	N1	NA	2	0.0	2.0	1.0
NEK1	C4	0.8961899226764366	15	0.6666666666666667	2.0	1.7333333333333334
NEK2	N1	NA	1	0.0	2.0	1.0
TNFRSF4	N1	NA	1	0.0	2.0	1.0
KCNH1	C1	0.006357215082588019	11	0.1818181818181818	2.5454545454545454	2.272727272727273
KCNH2	C1	0.004631974739858213	737	0.6255088195386712	2.331071913161465	2.0298507462686564
DGAT1	C3	1.0	2	0.5	2.0	1.5
STX7	N1	NA	1	0.0	2.0	2.0
MSH6	C4	0.6752549587114541	1495	1.7163879598662284	2.602006688963209	2.0020066889632107
MINPP1	C3	0.34404027703921514	2	0.0	2.0	1.0
MSH2	C3	0.19229416247680675	1585	2.044164037854883	2.4586750788643474	2.009463722397476
SMO	C3	0.1385571696128488	19	0.0	2.0	1.8421052631578947
MSH3	N1	NA	4	0.0	2.0	1.0
PKP2	C1	2.45296213045032E-4	267	1.161048689138577	2.760299625468165	2.0149812734082397
SMS	C2	0.029526186705799762	17	0.588235294117647	2.411764705882353	1.7058823529411764
PKP1	C3	1.0	4	0.5	2.0	1.75
BLK	N1	NA	18	0.6666666666666666	2.388888888888889	1.8888888888888888
KMT2D	C1	2.5828044786235793E-6	407	0.9189189189189187	2.3095823095823085	2.0
BLM	C4	0.3141055977601479	184	0.8260869565217394	2.4021739130434785	1.8641304347826084
KCNE1	C1	0.0014357802073001746	57	0.6315789473684209	2.701754385964912	2.0526315789473686
KCNE2	C1	0.009910188460332314	30	0.8	3.066666666666667	2.1666666666666665
KMT2A	C2	0.01815116978853204	32	0.90625	2.125	1.84375
KCNE3	N1	NA	11	1.0	2.727272727272727	2.090909090909091
UQCRB	C3	0.12133525035848225	6	1.0	2.0	2.0
ZC4H2	I1	NA	7	0.42857142857142855	2.0	1.4285714285714286
LOXHD1	C4	0.5042736753035879	192	1.0572916666666665	2.119791666666667	1.9947916666666667
AP4S1	C3	0.23672357063785743	13	0.8461538461538461	2.1538461538461537	1.7692307692307692
GRIA3	C2	0.024605401927148107	19	0.4736842105263158	2.1052631578947367	1.7894736842105263
NEK8	C3	0.050612432239184546	11	0.8181818181818181	2.090909090909091	1.8181818181818181
NEK9	T1	NA	7	0.0	2.0	1.1428571428571428
UROS	C1	5.7708482410601114E-5	23	0.0	2.1739130434782608	1.0
FBXO38	N1	NA	1	0.0	2.0	1.0
HTR1A	N1	NA	2	1.5	2.0	1.0
RFXANK	C3	0.18242243945173608	4	0.75	2.0	1.75
FBXO31	N1	NA	1	0.0	2.0	1.0
G6PC3	C2	0.027009770937630684	15	0.4000000000000001	2.2	1.3333333333333335
UQCRQ	N1	NA	6	0.8333333333333334	2.0	1.8333333333333333
NOP10	N1	NA	3	0.6666666666666666	2.3333333333333335	1.6666666666666667
ALAS2	T1	NA	48	0.625	2.0833333333333335	1.6666666666666667
KCNK9	N1	NA	1	1.0	3.0	3.0
DYSF	C4	0.23968131827943084	232	1.1422413793103445	2.4956896551724146	1.9741379310344829
PTEN	C3	0.6451242493575298	505	0.9485148514851477	2.2673267326732662	1.9564356435643568
ETFA	C3	0.5886190562769599	17	1.0	2.176470588235294	1.9411764705882353
ECE1	N1	NA	11	0.9090909090909091	2.0	1.9090909090909092
ETFB	C4	0.2893913059703208	23	1.0434782608695652	2.130434782608696	1.9130434782608696
BICD2	T1	NA	12	0.33333333333333337	2.0833333333333335	1.5
BMP15	C4	0.08450788636577888	12	0.75	2.1666666666666665	1.5833333333333335
AP4M1	C3	0.05320552981158744	17	0.8823529411764706	2.176470588235294	1.9411764705882353
UNC80	C4	0.4645197482436393	11	0.9090909090909091	2.6363636363636362	2.5454545454545454
SPR	C4	0.5635746202609719	12	0.4166666666666667	2.0833333333333335	1.4166666666666665
SPDL1	N1	NA	2	0.5	2.0	2.0
NEO1	N1	NA	1	0.0	2.0	2.0
NKX3-2	I1	NA	8	0.625	2.0	1.625
MBL2	C3	0.07775989643932946	3	0.0	2.0	1.0
CERS3	C3	0.5838824207703652	3	0.0	2.0	1.3333333333333333
UNC45B	N1	NA	1	0.0	2.0	1.0
SLC36A2	N1	NA	1	0.0	2.0	1.0
VPS13C	T1	NA	6	0.8333333333333334	2.6666666666666665	2.5
RNASET2	N1	NA	1	0.0	2.0	1.0
VPS13A	C3	0.08567343955231721	3	0.0	2.0	1.3333333333333333
VPS13B	C2	0.023737054055538054	278	0.7517985611510799	2.276978417266187	1.9748201438848922
TNFRSF1A	C1	0.007387642844212117	105	0.23809523809523842	2.180952380952381	2.104761904761905
PCCA	C1	0.0036989923077590525	55	1.0727272727272728	2.254545454545455	1.9636363636363636
PCCB	C4	0.13647473004382726	54	0.7777777777777777	2.185185185185185	1.7777777777777777
AGXT	C2	0.03580695913982612	238	0.12184873949579861	2.226890756302521	2.063025210084034
CANT1	C4	0.3472712175454762	19	0.31578947368421045	2.0526315789473686	1.368421052631579
C1S	N1	NA	3	0.0	2.0	1.0
SRC	I1	NA	15	0.0	2.0	1.8666666666666667
SRI	N1	NA	1	1.0	2.0	2.0
IL2RG	I1	NA	22	0.5	2.272727272727273	1.5909090909090908
MALT1	C3	0.05642526803183878	4	0.0	2.0	1.5
ARL13B	T1	NA	16	0.875	2.4375	2.0
KRIT1	C3	0.865134745405447	20	0.85	2.15	1.9
BSND	C4	0.06608191591670343	33	0.8787878787878788	2.121212121212121	1.7575757575757573
SRY	T1	NA	21	0.047619047619047596	2.0	1.0476190476190477
DRAM2	C2	0.013347575926843214	7	1.0	2.7142857142857144	2.7142857142857144
KCNJ1	C4	0.5597102318814235	18	0.16666666666666666	2.111111111111111	1.6666666666666665
KCNJ2	C1	1.4457712804727407E-10	92	0.6304347826086958	2.4347826086956523	2.130434782608696
UBQLN2	C4	0.4990873946697503	7	0.14285714285714288	2.0	1.1428571428571428
KCNJ5	C4	0.8899845560828555	29	0.9655172413793103	2.3793103448275863	1.896551724137931
KCNJ6	C3	0.43857802608099994	2	0.0	2.0	1.0
NECAP1	N1	NA	1	0.0	3.0	3.0
UROC1	C3	0.5071460479516466	6	0.33333333333333337	2.0	1.6666666666666667
IL2RA	C3	0.09634807418906244	8	0.125	2.0	1.125
TRIM37	C4	0.09169028154942949	18	0.27777777777777785	2.0555555555555554	2.0
KCNK3	C4	0.0867553794751772	5	0.0	2.2	1.4
IKZF1	T1	NA	5	0.0	2.0	1.0
RCBTB1	C4	0.16772580513660695	8	0.0	2.5	2.5
PEX26	C4	0.5167279184620507	16	0.75	2.25	1.5625
STS	C1	0.003806945024293684	9	0.11111111111111108	2.0	1.4444444444444444
MCIDAS	I1	NA	10	0.8	2.1	1.7
KDR	N1	NA	38	0.0	2.0789473684210527	2.0526315789473686
TNFSF11	C3	1.0	7	0.7142857142857143	2.0	1.7142857142857142
ARL16	N1	NA	1	1.0	2.0	2.0
FBXO7	C3	0.18144920772142037	5	0.2	2.0	1.2
TP63	C1	2.700407718277953E-4	45	0.4888888888888889	2.088888888888889	1.5333333333333334
BCS1L	C4	0.05668510183915887	37	0.6756756756756758	2.135135135135135	1.810810810810811
BTD	C1	4.3773533242585927E-7	176	0.28409090909090906	2.3806818181818175	2.0625
KEL	N1	NA	2	0.0	2.0	1.0
KCNQ1	C1	5.250244683452365E-13	534	0.6741573033707868	2.8970037453183477	2.0674157303370793
KCNQ2	C1	0.00762259654399855	271	0.8745387453874536	2.2841328413284128	1.8597785977859773
BTK	I1	NA	56	0.3214285714285716	2.0357142857142856	1.357142857142857
KCNQ3	C2	0.015691174111371442	89	0.9438202247191012	2.2022471910112364	1.9887640449438202
KCNQ4	C1	0.008328659530867477	70	0.8142857142857144	2.3	1.7
TP53	C1	0.0022316887702492627	516	1.1434108527131785	2.5697674418604666	2.0135658914728682
RIN2	I1	NA	9	0.7777777777777778	2.0	1.7777777777777777
CES1	N1	NA	2	1.5	2.0	1.0
CERKL	C4	0.949059680885933	24	0.875	2.2083333333333335	1.9166666666666667
CETP	N1	NA	4	0.75	2.0	1.0
AARS2	C1	0.0013425635286139492	53	0.8867924528301887	2.0377358490566038	1.9056603773584906
TTBK1	N1	NA	2	1.0	2.0	2.0
TTBK2	C3	0.17971249487899987	5	0.0	2.4	1.4
PKHD1	C1	0.0066260350354109265	263	1.2433460076045626	2.444866920152091	1.9847908745247147
MC2R	C2	0.017910843751961947	9	0.0	2.0	1.0
APOH	N1	NA	2	0.0	2.0	1.5
NEU1	C2	0.03388199411096038	16	0.125	2.0625	1.3125
B4GALNT1	C2	0.03475558435961612	9	0.5555555555555556	2.111111111111111	1.4444444444444444
