Gene	Category	Pvalue	NrOfVariants	ReviewStatusMean	NumberSubmittersMean	SubmitterCategoriesMean
NUP107	C4	0.7327741156787284	5	0.0	2.0	1.2
TFRC	N1	NA	1	0.0	3.0	3.0
IFT172	C2	0.04063557744402202	14	0.14285714285714288	2.0714285714285716	1.2142857142857142
ITSN1	N1	NA	1	1.0	2.0	2.0
SPINT2	C4	0.42597511151360556	6	0.0	2.0	1.0
PRKACG	N1	NA	1	0.0	2.0	1.0
DPYSL2	N1	NA	1	1.0	2.0	2.0
PRKACA	C3	0.4795001221869535	2	0.0	3.0	2.5
SECISBP2	C3	0.22345385579904897	3	0.0	2.0	1.0
CACNA2D4	N1	NA	1	0.0	2.0	1.0
LARS2	C2	0.02621506405638585	5	0.8	2.4	2.2
SCO1	C3	0.07453157105461916	3	0.0	2.0	1.0
TFR2	C4	0.15944520783096827	17	0.1176470588235294	2.2941176470588234	1.1764705882352942
AGTR1	C3	0.7340951823194759	4	0.0	2.0	1.0
ORAI1	C4	0.08831136214975366	7	0.0	2.0	1.0
OPTN	C4	0.3111350517780631	6	0.33333333333333337	2.3333333333333335	1.5
COL13A1	C3	1.0	2	0.0	2.0	1.0
SAR1B	C2	0.03519233507772823	5	0.0	2.0	1.0
ADAMTS10	C4	0.27026494469994755	7	0.0	2.0	1.0
ADAMTS13	C4	0.08440183284381686	21	0.04761904761904761	2.0476190476190474	1.0952380952380953
T	N1	NA	1	0.0	2.0	1.0
HLCS	C2	0.022680427546513893	15	0.5333333333333334	2.066666666666667	1.6
ADAMTS18	C3	0.10932488206339896	4	0.0	2.0	1.0
ADAMTS17	C3	0.4446962318497091	2	0.0	2.0	1.0
HCRT	N1	NA	1	0.0	2.0	1.0
CREBBP	C2	0.03189318500771632	90	0.9444444444444443	2.066666666666667	1.9777777777777779
JAG1	C4	0.19516422063587457	77	0.9220779220779219	2.0259740259740258	1.935064935064935
JUP	C4	0.0644009235023536	12	0.5	2.25	1.5
EIF2AK3	C4	0.5918818629302538	5	0.39999999999999997	2.0	1.4
EIF2AK4	C2	0.016290871174318045	10	0.0	2.0	1.0
L1CAM	C2	0.03038282197657749	36	0.5833333333333334	2.0833333333333335	1.6944444444444444
FAM111B	C3	0.11745149003513577	6	0.0	2.5	1.0
DHFR	T1	NA	2	0.0	2.5	2.0
FAM111A	C4	0.18660585056697354	5	0.0	3.0	1.0
LAS1L	N1	NA	1	1.0	2.0	2.0
STRC	C1	0.007438348076892587	21	0.9047619047619048	2.0952380952380953	1.9047619047619047
SFXN4	T1	NA	3	0.0	2.0	1.0
KCNC1	N1	NA	1	0.0	2.0	1.0
DPYS	C3	0.06087440224862506	4	0.0	2.0	1.0
KCNC3	C3	0.4617428253910868	4	0.25	2.0	1.25
PRKAG2	C2	0.043910242341946626	17	0.8235294117647058	2.7058823529411766	2.1176470588235294
SNX10	C3	0.12133525035848225	2	0.0	2.0	1.0
PRKAG3	N1	NA	1	0.0	2.0	1.0
MMP20	C3	0.5626754786007807	4	0.0	2.0	1.0
SHH	I1	NA	28	0.03571428571428572	2.607142857142857	1.0714285714285714
CASP10	C4	0.9341916414436111	6	0.0	2.3333333333333335	1.0
NEFL	C4	0.41960353551591056	17	0.05882352941176469	2.764705882352941	2.411764705882353
NEFH	C3	1.0	2	0.0	2.0	1.0
JAK3	C1	0.002078981669423441	10	0.8	2.2	1.6
JAK1	N1	NA	1	1.0	2.0	2.0
MYBPC3	C2	0.028488175909835656	454	1.1674008810572687	2.9977973568281993	2.041850220264317
CHST8	N1	NA	1	0.0	2.0	1.0
MYBPC1	C3	0.06679806847513803	3	0.0	2.0	1.0
CHST6	C4	0.167406587404497	7	0.0	2.0	1.0
IFT140	C2	0.01903998795474815	8	0.25	2.0	1.375
KCND3	C4	0.7798476433904591	6	0.16666666666666669	2.0	1.1666666666666667
TEX11	C3	0.9942176711388209	3	0.0	2.0	1.0
BGN	C3	0.8531003889790089	7	0.0	2.0	1.7142857142857142
TEX15	N1	NA	1	1.0	2.0	2.0
DUSP6	C3	0.05699830641051984	2	0.0	2.0	1.0
MMP14	N1	NA	1	0.0	2.0	1.0
MMP13	C2	0.01595461119654462	7	0.14285714285714288	2.0	1.1428571428571428
SDHAF2	C3	0.10034824646229068	2	1.0	3.0	2.5
PTRH2	C3	1.0	2	0.0	2.5	2.0
AGPS	C2	0.028412580599642356	4	0.0	2.0	1.0
DPYD	C4	0.1525391655320999	4	0.5	2.0	1.5
SDHAF1	C3	0.3236781609070165	2	0.0	2.0	1.0
CRYAA	C1	7.639086370274661E-4	10	0.0	2.1	1.3
CRYAB	C4	0.5623426051791449	13	0.3076923076923077	2.6153846153846154	1.5384615384615385
PAFAH1B1	C3	0.3092968417459364	100	0.96	2.1300000000000003	2.03
CHST3	T1	NA	12	0.0	2.0	1.0
ECHS1	C4	0.6999875165668471	6	0.0	2.3333333333333335	1.6666666666666667
KCNA1	C1	2.5111289005286253E-5	20	0.04999999999999999	2.2	1.05
KCNA2	C2	0.03763531378731433	4	0.0	2.0	1.0
KIAA2022	C3	0.29626987148428674	11	0.7272727272727273	2.0	1.8181818181818181
KCNA5	C4	0.6174382654884993	6	0.16666666666666669	2.1666666666666665	1.3333333333333333
JAM3	T1	NA	3	0.0	2.0	1.0
EGLN1	C3	0.4941245444092639	3	0.0	2.0	1.0
MBD5	I1	NA	6	0.5	2.5	2.0
PKLR	C1	0.009520050273085223	8	0.25	2.25	1.5
KCNB1	C3	0.8272593465627113	4	0.5	2.25	1.75
SKI	C4	0.6623032332676814	14	0.9285714285714285	2.642857142857143	2.2857142857142856
SNX14	C4	0.08570555461743667	6	0.0	2.0	1.0
AGRN	C4	0.11191757948252024	8	0.0	2.375	1.0
EFEMP2	C2	0.04722090400357715	10	0.1	2.9	1.2
EFEMP1	C3	0.936490249583841	1	0.0	2.0	1.0
UROD	C4	0.07440081173543356	15	0.0	2.1333333333333333	1.0
POFUT1	N1	NA	2	0.0	2.0	1.0
NEK1	C4	0.8961899226764366	8	0.5	2.0	1.5
NEK2	N1	NA	1	0.0	2.0	1.0
TNFRSF4	N1	NA	1	0.0	2.0	1.0
KCNH1	C1	0.006357215082588019	10	0.10000000000000002	2.6	2.3
KCNH2	C1	0.004631974739858213	280	1.0	2.5107142857142852	2.0785714285714283
DGAT1	C3	1.0	2	0.5	2.0	1.5
STX7	N1	NA	1	0.0	2.0	2.0
MSH6	C4	0.6752549587114541	295	2.1254237288135602	2.5898305084745754	2.0033898305084747
MINPP1	C3	0.34404027703921514	2	0.0	2.0	1.0
MSH2	C3	0.19229416247680675	582	2.6340206185567023	2.2766323024054986	2.02233676975945
SMO	C3	0.1385571696128488	3	0.0	2.0	1.0
MSH3	N1	NA	4	0.0	2.0	1.0
PKP2	C1	2.45296213045032E-4	93	1.1397849462365592	2.655913978494623	2.043010752688172
SMS	C2	0.029526186705799762	9	0.11111111111111109	2.6666666666666665	1.4444444444444444
PKP1	C3	1.0	2	0.0	2.0	1.5
BLK	N1	NA	4	0.25	2.5	1.5
KMT2D	C1	2.5828044786235793E-6	119	0.9495798319327731	2.1176470588235294	2.0
BLM	C4	0.3141055977601479	52	0.46153846153846145	2.2884615384615383	1.5192307692307692
KCNE1	C1	0.0014357802073001746	8	0.875	4.625	2.5
KCNE2	C1	0.009910188460332314	9	0.7777777777777778	3.666666666666667	2.4444444444444446
KMT2A	C2	0.01815116978853204	20	0.7	2.0	1.75
KCNE3	N1	NA	1	1.0	4.0	3.0
UQCRB	C3	0.12133525035848225	3	1.0	2.0	2.0
ZC4H2	I1	NA	6	0.33333333333333337	2.0	1.3333333333333333
LOXHD1	C4	0.5042736753035879	8	0.875	2.5	2.0
AP4S1	C3	0.23672357063785743	3	0.0	2.0	1.0
GRIA3	C2	0.024605401927148107	8	0.375	2.0	1.5
NEK8	C3	0.050612432239184546	3	0.33333333333333337	2.0	1.3333333333333333
NEK9	T1	NA	4	0.0	2.0	1.0
UROS	C1	5.7708482410601114E-5	23	0.0	2.1739130434782608	1.0
FBXO38	N1	NA	1	0.0	2.0	1.0
HTR1A	N1	NA	1	0.0	2.0	1.0
RFXANK	C3	0.18242243945173608	3	0.6666666666666666	2.0	1.6666666666666667
FBXO31	N1	NA	1	0.0	2.0	1.0
G6PC3	C2	0.027009770937630684	11	0.0909090909090909	2.1818181818181817	1.0909090909090908
UQCRQ	N1	NA	1	0.0	2.0	1.0
NOP10	N1	NA	1	0.0	3.0	1.0
ALAS2	T1	NA	27	0.3333333333333334	2.1481481481481484	1.4074074074074074
KCNK9	N1	NA	1	1.0	3.0	3.0
DYSF	C4	0.23968131827943084	84	0.9166666666666667	2.2857142857142856	1.9285714285714284
PTEN	C3	0.6451242493575298	186	0.897849462365591	2.2580645161290325	1.8817204301075263
ETFA	C3	0.5886190562769599	5	0.8	2.4	1.8
ECE1	N1	NA	1	0.0	2.0	1.0
ETFB	C4	0.2893913059703208	6	0.6666666666666666	2.0	1.6666666666666667
BICD2	T1	NA	8	0.375	2.125	1.25
BMP15	C4	0.08450788636577888	5	0.0	2.0	1.0
AP4M1	C3	0.05320552981158744	3	0.0	2.3333333333333335	1.6666666666666667
UNC80	C4	0.4645197482436393	11	0.9090909090909091	2.6363636363636362	2.5454545454545454
SPR	C4	0.5635746202609719	8	0.125	2.125	1.125
SPDL1	N1	NA	1	0.0	2.0	2.0
NEO1	N1	NA	1	0.0	2.0	2.0
NKX3-2	I1	NA	3	0.0	2.0	1.0
MBL2	C3	0.07775989643932946	3	0.0	2.0	1.0
CERS3	C3	0.5838824207703652	2	0.0	2.0	1.0
UNC45B	N1	NA	1	0.0	2.0	1.0
SLC36A2	N1	NA	1	0.0	2.0	1.0
VPS13C	T1	NA	6	0.8333333333333334	2.6666666666666665	2.5
RNASET2	N1	NA	1	0.0	2.0	1.0
VPS13A	C3	0.08567343955231721	2	0.0	2.0	1.0
VPS13B	C2	0.023737054055538054	114	0.21052631578947367	2.2368421052631584	1.9385964912280702
TNFRSF1A	C1	0.007387642844212117	17	0.3529411764705882	2.823529411764706	2.588235294117647
PCCA	C1	0.0036989923077590525	37	0.8918918918918918	2.081081081081081	1.9189189189189189
PCCB	C4	0.13647473004382726	41	0.7073170731707319	2.1951219512195124	1.75609756097561
AGXT	C2	0.03580695913982612	178	0.08988764044943803	2.2078651685393265	2.073033707865169
CANT1	C4	0.3472712175454762	16	0.1875	2.0625	1.25
C1S	N1	NA	3	0.0	2.0	1.0
SRC	I1	NA	2	0.0	2.0	1.0
SRI	N1	NA	1	1.0	2.0	2.0
IL2RG	I1	NA	22	0.5	2.272727272727273	1.5909090909090908
MALT1	C3	0.05642526803183878	2	0.0	2.0	1.0
ARL13B	T1	NA	8	0.625	2.25	2.0
KRIT1	C3	0.865134745405447	10	0.7	2.3	1.8
BSND	C4	0.06608191591670343	8	0.0	2.0	1.0
SRY	T1	NA	20	0.0	2.0	1.0
DRAM2	C2	0.013347575926843214	7	1.0	2.7142857142857144	2.7142857142857144
KCNJ1	C4	0.5597102318814235	8	0.125	2.25	1.25
KCNJ2	C1	1.4457712804727407E-10	35	0.6857142857142856	2.914285714285714	2.3428571428571425
UBQLN2	C4	0.4990873946697503	6	0.0	2.0	1.0
KCNJ5	C4	0.8899845560828555	8	0.0	2.375	1.5
KCNJ6	C3	0.43857802608099994	2	0.0	2.0	1.0
NECAP1	N1	NA	1	0.0	3.0	3.0
UROC1	C3	0.5071460479516466	2	0.0	2.0	1.0
IL2RA	C3	0.09634807418906244	5	0.0	2.0	1.0
TRIM37	C4	0.09169028154942949	14	0.07142857142857145	2.0714285714285716	2.0
KCNK3	C4	0.0867553794751772	5	0.0	2.2	1.4
IKZF1	T1	NA	5	0.0	2.0	1.0
RCBTB1	C4	0.16772580513660695	6	0.0	2.6666666666666665	2.6666666666666665
PEX26	C4	0.5167279184620507	9	0.22222222222222218	2.0	1.2222222222222223
STS	C1	0.003806945024293684	6	0.0	2.0	1.1666666666666667
MCIDAS	I1	NA	3	0.0	2.0	1.0
KDR	N1	NA	1	0.0	3.0	3.0
TNFSF11	C3	1.0	2	0.0	2.0	1.0
ARL16	N1	NA	1	1.0	2.0	2.0
FBXO7	C3	0.18144920772142037	4	0.0	2.0	1.0
TP63	C1	2.700407718277953E-4	26	0.19230769230769224	2.1538461538461537	1.1923076923076923
BCS1L	C4	0.05668510183915887	21	0.42857142857142855	2.238095238095238	1.6666666666666665
BTD	C1	4.3773533242585927E-7	157	0.2484076433121019	2.382165605095542	2.070063694267516
KEL	N1	NA	1	0.0	2.0	1.0
KCNQ1	C1	5.250244683452365E-13	238	1.0084033613445378	3.340336134453784	2.155462184873949
KCNQ2	C1	0.00762259654399855	152	0.6907894736842111	2.282894736842105	1.75
BTK	I1	NA	51	0.2549019607843137	2.0392156862745097	1.2941176470588236
KCNQ3	C2	0.015691174111371442	14	0.7142857142857142	2.7142857142857144	1.8571428571428572
KCNQ4	C1	0.008328659530867477	23	0.13043478260869565	2.4782608695652177	1.2173913043478262
TP53	C1	0.0022316887702492627	168	1.0892857142857142	2.809523809523809	2.0357142857142856
RIN2	I1	NA	2	0.0	2.0	1.0
CES1	N1	NA	1	0.0	2.0	1.0
CERKL	C4	0.949059680885933	7	0.14285714285714288	2.142857142857143	1.7142857142857142
CETP	N1	NA	1	0.0	2.0	1.0
AARS2	C1	0.0013425635286139492	12	0.5	2.0833333333333335	1.5833333333333333
TTBK1	N1	NA	1	1.0	2.0	2.0
TTBK2	C3	0.17971249487899987	3	0.0	2.6666666666666665	1.0
PKHD1	C1	0.0066260350354109265	65	1.0	2.169230769230769	1.9384615384615385
MC2R	C2	0.017910843751961947	9	0.0	2.0	1.0
APOH	N1	NA	1	0.0	2.0	2.0
NEU1	C2	0.03388199411096038	15	0.06666666666666668	2.066666666666667	1.2666666666666666
B4GALNT1	C2	0.03475558435961612	5	0.0	2.0	1.0
APOE	C4	0.6951180996241331	18	0.0	2.0	1.0
APOB	C4	0.8206351905780831	25	0.4000000000000001	2.24	1.48
KCNN4	N1	NA	1	1.0	2.0	2.0
BBS2	C2	0.01016051237585347	24	0.20833333333333331	2.0416666666666665	1.3333333333333335
BBS1	C4	0.1582609861883606	7	0.7142857142857143	2.4285714285714284	2.142857142857143
MSR1	C3	0.2133737070931182	3	0.33333333333333337	2.3333333333333335	1.6666666666666667
TGDS	C4	0.39008043683444593	6	0.0	2.0	1.0
SLC10A2	N1	NA	1	0.0	2.0	1.0
NBEAL2	C4	0.16913495856058658	7	0.0	2.0	1.0
IGF1	C2	0.045500263896358306	2	0.0	2.0	1.5
HARS2	C4	0.4620830773311041	5	0.6	2.4	1.6
MED13L	T1	NA	16	0.4375	2.0625	1.5
POLA1	N1	NA	1	1.0	2.0	2.0
NDUFAF6	C3	0.6547208460185769	4	0.75	2.0	1.75
NDUFAF4	N1	NA	1	0.0	2.0	1.0
NDUFAF5	C2	0.03822617310858889	8	0.75	2.0	1.75
CWF19L1	C3	0.22067136191984704	3	0.33333333333333337	2.3333333333333335	1.6666666666666667
